Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_upheld_rate,period,year,half,sector,avg_upheld_rate,period_sort,period_date,industry_avg,upheld_deviation,firm_yoy_change,volatility_score
Bennetts Motorcycling Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.4624,,,2022-h1,2022,h1,Insurance,46.24,1,2022-01-01,52.00837250000001,-5.768372500000005,,
BISL Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.4487,,,2022-h1,2022,h1,Insurance,44.87,1,2022-01-01,52.00837250000001,-7.13837250000001,-6.739999999999995,7.702298518250807
Black Horse Limited,BARCLAYS PLC,2022-01-01 to 2022-06-30,,,0.4545,,,,2022-h1,2022,h1,Mortgage & Lending,45.45,1,2022-01-01,52.00837250000001,-6.558372500000004,,45.45
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,2021-10-01 to 2022-03-31,,0.2857,0.371,0.2857,0.4286,,2022-h1,2022,h1,Investments,34.275,1,2022-01-01,52.00837250000001,-17.73337250000001,,15.690793142043141
Brightside Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.5233,,,2022-h1,2022,h1,Insurance,52.33,1,2022-01-01,52.00837250000001,0.3216274999999911,,13.21
British Gas Services Limited,CENTRICA PLC,2022-01-01 to 2022-06-30,,,,0.9863,,,2022-h1,2022,h1,Energy & Utilities,98.63,1,2022-01-01,52.00837250000001,46.62162749999999,-3.7099999999999937,3.934479010494755
BUPA Insurance Services Limited,THE BRITISH UNITED PROVIDENT ASSOCIATION LTD,2022-01-01 to 2022-06-30,,,,0.5675,,,2022-h1,2022,h1,Insurance,56.75,1,2022-01-01,52.00837250000001,4.741627499999993,1.4500000000000028,7.397838190517611
Cabot Credit Management Group Limited,NO GROUP,2022-01-01 to 2022-06-30,0.2355,,0.4474,,,,2022-h1,2022,h1,Mortgage & Lending,34.145,1,2022-01-01,52.00837250000001,-17.863372500000004,9.184999999999995,10.769999999999996
Call Assist Ltd,CALL ASSIST LIMITED,2021-11-01 to 2022-04-30,,,,0.3861,,,2022-h1,2022,h1,Insurance,38.61,1,2022-01-01,52.00837250000001,-13.398372500000008,,8.074118673647469
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2022-01-01 to 2022-06-30,0.3192,,,0.1288,,,2022-h1,2022,h1,Banking,22.399999999999988,1,2022-01-01,52.00837250000001,-29.60837250000002,0.5800000000000125,12.840000000000014
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,2022-01-01 to 2022-06-30,,,,0.3604,,,2022-h1,2022,h1,Insurance,36.04,1,2022-01-01,52.00837250000001,-15.968372500000008,,
Carfinance247 Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,,,,2022-h1,2022,h1,Mortgage & Lending,,1,2022-01-01,52.00837250000001,,,25.716363636363628
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,2022-01-01 to 2022-06-30,,,,0.4631,,,2022-h1,2022,h1,Insurance,46.31,1,2022-01-01,52.00837250000001,-5.698372500000005,,9.299999999999997
Cater Allen Limited,NO GROUP,2022-01-01 to 2022-06-30,0.5153,,,,,,2022-h1,2022,h1,Banking,51.53,1,2022-01-01,52.00837250000001,-0.4783725000000061,,19.532271062271064
Charter Court Financial Services Limited,NO GROUP,2022-01-01 to 2022-06-30,0.4088,,0.3827,,,,2022-h1,2022,h1,Banking,39.575,1,2022-01-01,52.00837250000001,-12.433372500000004,3.884999999999998,9.77371696801113
Citibank UK Limited,NO GROUP,2022-01-01 to 2022-06-30,0.1337,,,0.3333,0.4186,,2022-h1,2022,h1,Banking,29.51999999999999,1,2022-01-01,52.00837250000001,-22.48837250000002,,16.03607437594028
ClearBank Limited,NO GROUP,2022-01-01 to 2022-06-30,0.5592,,,,,,2022-h1,2022,h1,Banking,55.92,1,2022-01-01,52.00837250000001,3.9116274999999945,14.019999999999996,18.080000000000005
Close Brothers Limited,NO GROUP,2021-08-01 to 2022-01-31,0.3571,,,,,,2022-h1,2022,h1,Banking,35.709999999999994,1,2022-01-01,52.00837250000001,-16.298372500000013,-5.474999999999994,50.7039548022599
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2021-10-01 to 2022-03-31,0.762,,0.6987,0.5357,0.2143,,2022-h1,2022,h1,Banking,55.267500000000005,1,2022-01-01,52.00837250000001,3.259127499999998,12.378499999999995,21.256000000000007
Cofunds Limited,AEGON GROUP,2022-01-01 to 2022-06-30,,0.625,,,0.5995,,2022-h1,2022,h1,Insurance,61.225,1,2022-01-01,52.00837250000001,9.216627499999994,-16.105000000000004,17.659886148007594
Columbia Threadneedle Management Limited,NO GROUP,2021-11-01 to 2022-04-30,,,,,0.4112,,2022-h1,2022,h1,Investments,41.120000000000005,1,2022-01-01,52.00837250000001,-10.888372500000004,,12.770000000000003
Connells Limited,NO GROUP,2022-01-01 to 2022-06-30,,,0.5395,0.2982,,,2022-h1,2022,h1,Mortgage & Lending,41.885,1,2022-01-01,52.00837250000001,-10.12337250000001,-2.979999999999997,22.336962584657755
Corgi Homeplan Ltd,US BANCORP,2022-01-01 to 2022-06-30,,,,0.7307,,,2022-h1,2022,h1,Insurance,73.07000000000001,1,2022-01-01,52.00837250000001,21.0616275,,
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,2022-01-01 to 2022-06-30,0.559,0.7143,0.6238,0.4,0.7846,,2022-h1,2022,h1,Investments,61.63399999999999,1,2022-01-01,52.00837250000001,9.625627499999986,-3.591999999999992,30.694000000000003
Covea Insurance plc,NO GROUP,2022-01-01 to 2022-06-30,,,,0.5354,,,2022-h1,2022,h1,Insurance,53.54,1,2022-01-01,52.00837250000001,1.531627499999992,-7.130000000000003,12.909999999999997
Coventry Building Society,COVENTRY BUILDING SOCIETY,2022-01-01 to 2022-06-30,0.5208,,0.7813,0.5,,,2022-h1,2022,h1,Banking,60.07,1,2022-01-01,52.00837250000001,8.061627499999993,-15.24333333333334,35.687618955925075
Creation Consumer Finance Ltd,BNP PARIBAS SA,2022-01-01 to 2022-06-30,0.3379,,,1.0,,,2022-h1,2022,h1,Mortgage & Lending,66.895,1,2022-01-01,52.00837250000001,14.886627499999989,-27.014999999999997,39.254999999999995
Creation Financial Services Limited,BNP PARIBAS SA,2022-01-01 to 2022-06-30,0.3447,,,1.0,,,2022-h1,2022,h1,Insurance,67.235,1,2022-01-01,52.00837250000001,15.226627499999992,-30.785,30.784999999999997
Currys Retail Limited,NO GROUP,2021-11-01 to 2022-04-30,,,,0.4316,,,2022-h1,2022,h1,Insurance,43.16,1,2022-01-01,52.00837250000001,-8.84837250000001,,
Cynergy Bank Limited,CYNERGY CAPITAL LTD,2022-01-01 to 2022-06-30,0.7492,,0.7857,,,,2022-h1,2022,h1,Banking,76.74499999999999,1,2022-01-01,52.00837250000001,24.736627499999983,,22.10499999999999
DAS Legal Expenses Insurance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.6471,,,2022-h1,2022,h1,Insurance,64.71000000000001,1,2022-01-01,52.00837250000001,12.7016275,,3.1099999999999994
Devitt Insurance Services Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,0.4449,,,2022-h1,2022,h1,Insurance,44.49,1,2022-01-01,52.00837250000001,-7.518372500000005,,18.12
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2021-10-01 to 2022-03-31,,,,0.7179,,,2022-h1,2022,h1,Insurance,71.78999999999999,1,2022-01-01,52.00837250000001,19.781627499999985,-15.139999999999992,17.61
Drydens Limited,NO GROUP,2022-01-01 to 2022-06-30,,,0.4,,,,2022-h1,2022,h1,Mortgage & Lending,40.0,1,2022-01-01,52.00837250000001,-12.008372500000007,,
Elderbridge Limited,TECH MAHINDRA LIMITED,2021-10-01 to 2022-03-31,,,0.5026,0.3333,,,2022-h1,2022,h1,Mortgage & Lending,41.795,1,2022-01-01,52.00837250000001,-10.213372500000006,2.134999999999998,14.625074604595646
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2022-01-01 to 2022-06-30,,0.3846,,,0.2728,,2022-h1,2022,h1,Insurance,32.87,1,2022-01-01,52.00837250000001,-19.13837250000001,24.65500000000001,32.935
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2022-01-01 to 2022-06-30,,,,0.546,,,2022-h1,2022,h1,Insurance,54.6,1,2022-01-01,52.00837250000001,2.591627499999994,-12.329999999999998,29.449999999999996
