Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Chetwood Financial Limited,NO GROUP,2024-04-01 to 2024-09-30,339.0,,,,,339.0,2024-h2,2024,h2,Banking,6
Chubb European Group SE,CHUBB LIMITED,2024-07-01 to 2024-12-31,,,,4200.0,,4200.0,2024-h2,2024,h2,Insurance,6
Citibank UK Limited,CITI GROUP,2024-07-01 to 2024-12-31,730.0,,,,25.0,755.0,2024-h2,2024,h2,Banking,6
ClearBank Limited,NO GROUP,2024-07-01 to 2024-12-31,3540.0,,,,,3540.0,2024-h2,2024,h2,Banking,6
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-02-01 to 2024-07-31,310.0,,,5.0,,315.0,2024-h2,2024,h2,Banking,6
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,35191.0,1.0,2185.0,7.0,54.0,37438.0,2024-h2,2024,h2,Banking,6
Cofunds Limited,AEGON N.V.,2024-07-01 to 2024-12-31,,106.0,,,886.0,992.0,2024-h2,2024,h2,Investments,6
Complete Cover Group Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,963.0,,963.0,2024-h2,2024,h2,Insurance,6
Connells Limited,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,,,406.0,119.0,,525.0,2024-h2,2024,h2,Mortgage & Lending,6
CORGI HomePlan Ltd,OVO GROUP,2024-07-01 to 2024-12-31,,,,1809.0,,1809.0,2024-h2,2024,h2,Insurance,6
Countrywide Assured Plc,NO GROUP,2024-07-01 to 2024-12-31,0.0,413.0,0.0,184.0,67.0,664.0,2024-h2,2024,h2,Insurance,6
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,1570.0,20.0,92.0,14.0,80.0,1776.0,2024-h2,2024,h2,Banking,6
Covea Insurance plc,COVEA GROUP,2024-07-01 to 2024-12-31,,,,2490.0,,2490.0,2024-h2,2024,h2,Insurance,6
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,3246.0,,722.0,1.0,,3969.0,2024-h2,2024,h2,Banking,6
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,5621.0,,,,,5621.0,2024-h2,2024,h2,Mortgage & Lending,6
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,519.0,,,1.0,,520.0,2024-h2,2024,h2,Banking,6
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-07-01 to 2024-12-31,900.0,,7.0,,,907.0,2024-h2,2024,h2,Banking,6
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2024-04-01 to 2024-09-30,,,,44570.0,,44570.0,2024-h2,2024,h2,Insurance,6
Elderbridge Limited,TECH MAHINDRA LIMITED,2024-04-01 to 2024-09-30,,,917.0,2.0,,919.0,2024-h2,2024,h2,Mortgage & Lending,6
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,0.0,381.0,0.0,0.0,374.0,755.0,2024-h2,2024,h2,Insurance,6
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2024-07-01 to 2024-12-31,,8.0,,,2091.0,2099.0,2024-h2,2024,h2,Investments,6
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2024-07-01 to 2024-12-31,,,,3011.0,,3011.0,2024-h2,2024,h2,Insurance,6
esure Insurance Limited,ESURE GROUP PLC,2024-07-01 to 2024-12-31,,,,16080.0,,16080.0,2024-h2,2024,h2,Insurance,6
EUI Limited,ADMIRAL GROUP PLC,2024-07-01 to 2024-12-31,,,,73418.0,,73418.0,2024-h2,2024,h2,Insurance,6
