Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2022-07-01 to 2022-12-31,,,,3498.0,,3498.0,2022-h2,2022,h2,Insurance,2
Skipton Building Society,SKIPTON BUILDING SOCIETY,2022-07-01 to 2022-12-31,2522.0,27.0,691.0,1.0,269.0,3510.0,2022-h2,2022,h2,Banking,2
Society of Lloyd's,SOCIETY OF LLOYD'S,2022-07-01 to 2022-12-31,,,,4855.0,,4855.0,2022-h2,2022,h2,Insurance,2
St James's Place UK plc,ST. JAMES'S PLACE PLC,2022-07-01 to 2022-12-31,,488.0,,8.0,196.0,692.0,2022-h2,2022,h2,Insurance,2
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2022-07-01 to 2022-12-31,2.0,695.0,14.0,46.0,1084.0,1841.0,2022-h2,2022,h2,Investments,2
Standard Life Assurance Limited,PHOENIX GROUP,2022-07-01 to 2022-12-31,,3328.0,18.0,42.0,214.0,3602.0,2022-h2,2022,h2,Insurance,2
Starling Bank Limited,NO GROUP,2022-04-01 to 2022-09-30,4717.0,,,,,4717.0,2022-h2,2022,h2,Banking,2
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2022-07-01 to 2022-12-31,,,,1174.0,,1174.0,2022-h2,2022,h2,Insurance,2
Stellantis Financial Services UK Limited,STELLANTIS FINANCIAL SERVICES UK LTD,2022-07-01 to 2022-12-31,,,,4.0,,4.0,2022-h2,2022,h2,Insurance,2
Studio Retail Limited,NO GROUP,2022-05-01 to 2022-10-31,,,,15.0,,15.0,2022-h2,2022,h2,Insurance,2
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,2022-07-01 to 2022-12-31,,1004.0,,810.0,175.0,1989.0,2022-h2,2022,h2,Insurance,2
Target Servicing Limited,NO GROUP,2022-04-01 to 2022-09-30,,,1041.0,,,1041.0,2022-h2,2022,h2,Mortgage & Lending,2
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,TELEFONICA GROUP,2022-07-01 to 2022-12-31,,,,5423.0,,5423.0,2022-h2,2022,h2,Insurance,2
Telefonica UK Limited,TELEFONICA GROUP,2022-07-01 to 2022-12-31,,,,19.0,,19.0,2022-h2,2022,h2,Insurance,2
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),2022-03-01 to 2022-08-31,15203.0,,,2599.0,,17802.0,2022-h2,2022,h2,Mortgage & Lending,2
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2022-03-01 to 2022-08-31,,,,1878.0,,1878.0,2022-h2,2022,h2,Insurance,2
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2022-07-01 to 2022-12-31,16304.0,1.0,1558.0,7.0,5.0,17875.0,2022-h2,2022,h2,Banking,2
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,2022-07-01 to 2022-12-31,,,520.0,,,520.0,2022-h2,2022,h2,Mortgage & Lending,2
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2022-04-01 to 2022-09-30,,,1545.0,,,1545.0,2022-h2,2022,h2,Mortgage & Lending,2
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2022-07-01 to 2022-12-31,,78.0,,5712.0,62.0,5852.0,2022-h2,2022,h2,Insurance,2
The Prudential Assurance Company Limited,PRUDENTIAL PLC,2022-07-01 to 2022-12-31,,6445.0,19.0,475.0,1982.0,8921.0,2022-h2,2022,h2,Insurance,2
The Royal Bank of Scotland Plc,NATWEST GROUP,2022-07-01 to 2022-12-31,15379.0,2.0,1658.0,60.0,28.0,17127.0,2022-h2,2022,h2,Banking,2
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,2022-07-01 to 2022-12-31,,5572.0,,2034.0,341.0,7947.0,2022-h2,2022,h2,Insurance,2
Topaz Finance Limited,NO GROUP,2022-07-01 to 2022-12-31,,,2814.0,,,2814.0,2022-h2,2022,h2,Mortgage & Lending,2
Triodos Bank UK Limited,TRIODOS BANK NV,2022-07-01 to 2022-12-31,502.0,,,,31.0,533.0,2022-h2,2022,h2,Banking,2
TSB Bank plc,BANCO DE SABADELL SA,2022-07-01 to 2022-12-31,30702.0,,2488.0,33.0,,33223.0,2022-h2,2022,h2,Banking,2
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2022-07-01 to 2022-12-31,,,,41738.0,,41738.0,2022-h2,2022,h2,Insurance,2
UBS AG,UBS GROUP AG,2022-07-01 to 2022-12-31,37.0,3.0,8.0,,458.0,506.0,2022-h2,2022,h2,Investments,2
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,2022-07-01 to 2022-12-31,,216.0,,,476.0,692.0,2022-h2,2022,h2,Energy & Utilities,2
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2022-07-01 to 2022-12-31,9537.0,,,,,9537.0,2022-h2,2022,h2,Banking,2
Vitality Corporate Services Limited,DISCOVERY LIMITED,2022-07-01 to 2022-12-31,,17.0,,11822.0,14.0,11853.0,2022-h2,2022,h2,Insurance,2
Vodafone Limited,VODAFONE GROUP,2022-04-01 to 2022-09-30,,,,395.0,,395.0,2022-h2,2022,h2,Insurance,2
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN GROUP,2022-07-01 to 2022-12-31,,,,1.0,,1.0,2022-h2,2022,h2,Insurance,2
Wescot Credit Services Limited,NO GROUP,2022-07-01 to 2022-12-31,1301.0,,,,,1301.0,2022-h2,2022,h2,Mortgage & Lending,2
Xbridge Limited,NO GROUP,2022-07-01 to 2022-12-31,,,,835.0,,835.0,2022-h2,2022,h2,Insurance,2
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2022-07-01 to 2022-12-31,1990.0,,607.0,16.0,1.0,2614.0,2022-h2,2022,h2,Banking,2
Zopa Bank Limited,NO GROUP,2022-07-01 to 2022-12-31,1761.0,,,,,1761.0,2022-h2,2022,h2,Banking,2
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2022-07-01 to 2022-12-31,2.0,1459.0,3.0,2745.0,501.0,4710.0,2022-h2,2022,h2,Insurance,2
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,2022-07-01 to 2022-12-31,,,,3379.0,,3379.0,2022-h2,2022,h2,Insurance,2
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2023-01-01 to 2023-06-30,19.0,,941.0,,,960.0,2023-h1,2023,h1,Mortgage & Lending,3
Accredited Insurance (Europe) Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,3602.0,,3602.0,2023-h1,2023,h1,Mortgage & Lending,3
Acm Ulr Limited,BGL GROUP,2023-01-01 to 2023-06-30,,,,2629.0,,2629.0,2023-h1,2023,h1,Insurance,3
Acorn Insurance & Financial Services Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,498.0,,498.0,2023-h1,2023,h1,Insurance,3
Acromas Insurance Company Limited,SAGA PLC,2023-01-01 to 2023-06-30,,,,6781.0,,6781.0,2023-h1,2023,h1,Insurance,3
Adrian Flux Insurance Services Group,NO GROUP,2022-09-01 to 2023-02-28,,,,1033.0,,1033.0,2023-h1,2023,h1,Insurance,3
Advanced Payment Solutions Limited,NO GROUP,2022-10-01 to 2023-03-31,925.0,,,,,925.0,2023-h1,2023,h1,Banking,3
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2023-01-01 to 2023-06-30,,,,1021.0,,1021.0,2023-h1,2023,h1,Insurance,3
Affinity Insurance Solutions Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,1504.0,,1504.0,2023-h1,2023,h1,Insurance,3
Ageas Insurance Limited,AGEAS SA-NV,2023-01-01 to 2023-06-30,,,,5818.0,,5818.0,2023-h1,2023,h1,Insurance,3
Ageas Retail Limited,AGEAS SA-NV,2023-01-01 to 2023-06-30,,,,1312.0,,1312.0,2023-h1,2023,h1,Insurance,3
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2023-01-01 to 2023-06-30,842.0,,36.0,2.0,,880.0,2023-h1,2023,h1,Banking,3
AIG Life Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,737.0,,737.0,2023-h1,2023,h1,Insurance,3
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2023-01-01 to 2023-06-30,,,,2362.0,,2362.0,2023-h1,2023,h1,Insurance,3
AJ Bell Management Limited,NO GROUP,2022-10-01 to 2023-03-31,106.0,502.0,,,,608.0,2023-h1,2023,h1,Insurance,3
Aldermore Bank Plc,FIRSTRAND LIMITED,2023-01-01 to 2023-06-30,866.0,,664.0,,,1530.0,2023-h1,2023,h1,Banking,3
Allianz Insurance Plc,ALLIANZ SE,2023-01-01 to 2023-06-30,,,,3705.0,,3705.0,2023-h1,2023,h1,Insurance,3
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,2023-01-01 to 2023-06-30,6412.0,,,27.0,,6439.0,2023-h1,2023,h1,Banking,3
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2023-01-01 to 2023-06-30,,,,11882.0,,11882.0,2023-h1,2023,h1,Insurance,3
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,2023-01-01 to 2023-06-30,,,,2066.0,,2066.0,2023-h1,2023,h1,Insurance,3
Animal Friends Insurance Services Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,3141.0,,3141.0,2023-h1,2023,h1,Insurance,3
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,2023-01-01 to 2023-06-30,,,,849.0,,849.0,2023-h1,2023,h1,Insurance,3
Assurant General Insurance Limited,ASSURANT INC,2023-01-01 to 2023-06-30,,,,6663.0,,6663.0,2023-h1,2023,h1,Insurance,3
Astrenska Insurance Limited,NO GROUP,2022-11-01 to 2023-04-30,,,,2367.0,,2367.0,2023-h1,2023,h1,Insurance,3
Asurion Europe Limited,ASURION,2023-01-01 to 2023-06-30,,,,1921.0,,1921.0,2023-h1,2023,h1,Insurance,3
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,2023-01-01 to 2023-06-30,,1.0,,12661.0,,12662.0,2023-h1,2023,h1,Insurance,3
Atom Bank PLC,NO GROUP,2022-10-01 to 2023-03-31,1040.0,,389.0,,,1429.0,2023-h1,2023,h1,Banking,3
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2022-08-01 to 2023-01-31,,,,13663.0,,13663.0,2023-h1,2023,h1,Insurance,3
Avantia Insurance Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,476.0,,476.0,2023-h1,2023,h1,Insurance,3
Aviva Health UK Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,1349.0,,1349.0,2023-h1,2023,h1,Insurance,3
Aviva Insurance Limited,AVIVA PLC,2023-01-01 to 2023-06-30,,,,45782.0,,45782.0,2023-h1,2023,h1,Insurance,3
Aviva Life Services UK Limited,AVIVA PLC,2023-01-01 to 2023-06-30,0.0,15683.0,750.0,4204.0,3053.0,23690.0,2023-h1,2023,h1,Insurance,3
AWP Assistance UK Ltd,ALLIANZ SE,2023-01-01 to 2023-06-30,,,,2766.0,,2766.0,2023-h1,2023,h1,Insurance,3
AWP P&C S.A.,NO GROUP,2023-01-01 to 2023-06-30,,,,770.0,,770.0,2023-h1,2023,h1,Insurance,3
AXA Insurance Designated Activity Company,AXA GROUP,2023-01-01 to 2023-06-30,,,,2747.0,,2747.0,2023-h1,2023,h1,Insurance,3
AXA Insurance UK Plc,AXA GROUP,2023-01-01 to 2023-06-30,,,,26482.0,,26482.0,2023-h1,2023,h1,Insurance,3
AXA PPP Healthcare Limited,AXA GROUP,2023-01-01 to 2023-06-30,,,,43271.0,,43271.0,2023-h1,2023,h1,Insurance,3
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2023-01-01 to 2023-06-30,3879.0,,1022.0,19.0,,4920.0,2023-h1,2023,h1,Banking,3
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,72605.0,13.0,13892.0,402.0,126.0,87038.0,2023-h1,2023,h1,Banking,3
Barbon Insurance Group Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,559.0,,559.0,2023-h1,2023,h1,Insurance,3
Barclays Bank Plc,BARCLAYS PLC,2023-01-01 to 2023-06-30,8679.0,35.0,6.0,1.0,957.0,9678.0,2023-h1,2023,h1,Banking,3
Barclays Bank UK PLC,BARCLAYS PLC,2023-01-01 to 2023-06-30,104226.0,46.0,9972.0,784.0,908.0,115936.0,2023-h1,2023,h1,Banking,3
BISL Limited,BGL GROUP,2023-01-01 to 2023-06-30,,,,11154.0,,11154.0,2023-h1,2023,h1,Insurance,3
Black Horse Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,,,14.0,40.0,,54.0,2023-h1,2023,h1,Insurance,3
Bradford & Bingley Limited,NO GROUP,2022-10-01 to 2023-03-31,0.0,5.0,771.0,8.0,19.0,803.0,2023-h1,2023,h1,Mortgage & Lending,3
Brightside Insurance Services Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,972.0,,972.0,2023-h1,2023,h1,Insurance,3
British Gas Services Limited,CENTRICA PLC,2023-01-01 to 2023-06-30,,,,76364.0,,76364.0,2023-h1,2023,h1,Energy & Utilities,3
Bspoke Underwriting Ltd,NO GROUP,2022-09-30 to 2023-03-30,,,,594.0,,594.0,2023-h1,2023,h1,Insurance,3
Building Block Insurance PCC Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,518.0,,518.0,2023-h1,2023,h1,Insurance,3
BUPA Insurance Services Limited,BUPA GROUP,2023-01-01 to 2023-06-30,,,,17423.0,,17423.0,2023-h1,2023,h1,Insurance,3
Cabot Credit Management Group Limited,NO GROUP,2023-01-01 to 2023-06-30,4714.0,,34.0,,,4748.0,2023-h1,2023,h1,Mortgage & Lending,3
Call Assist Ltd,CALL ASSIST LIMITED,2022-11-01 to 2023-04-30,,,,1080.0,,1080.0,2023-h1,2023,h1,Insurance,3
Canada Life Limited,NO GROUP,2023-01-01 to 2023-06-30,,609.0,,155.0,42.0,806.0,2023-h1,2023,h1,Insurance,3
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2023-01-01 to 2023-06-30,20063.0,,,162.0,,20225.0,2023-h1,2023,h1,Banking,3
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,2023-01-01 to 2023-06-30,,,,928.0,,928.0,2023-h1,2023,h1,Insurance,3
Carfinance247 Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,63.0,,63.0,2023-h1,2023,h1,Mortgage & Lending,3
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP LIMITED,2023-01-01 to 2023-06-30,,,,4976.0,,4976.0,2023-h1,2023,h1,Insurance,3
Castelan Limited,NO GROUP,2022-10-01 to 2023-03-31,,,,581.0,,581.0,2023-h1,2023,h1,Insurance,3
Cater Allen Limited,NO GROUP,2023-01-01 to 2023-06-30,676.0,,,,,676.0,2023-h1,2023,h1,Banking,3
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2023-01-01 to 2023-06-30,710.0,,1167.0,,,1877.0,2023-h1,2023,h1,Mortgage & Lending,3
Chaucer Insurance Company Designated Activity Company,NO GROUP,2023-01-01 to 2023-06-30,,,,513.0,,513.0,2023-h1,2023,h1,Insurance,3
Chetwood Financial Limited,NO GROUP,2022-10-01 to 2023-03-31,261.0,,,,,261.0,2023-h1,2023,h1,Banking,3
Chubb European Group SE,CHUBB LIMITED,2023-01-01 to 2023-06-30,,,,3700.0,,3700.0,2023-h1,2023,h1,Insurance,3
Citibank UK Limited,CITI GROUP,2023-01-01 to 2023-06-30,7571.0,,,,60.0,7631.0,2023-h1,2023,h1,Banking,3
ClearBank Limited,NO GROUP,2023-01-01 to 2023-06-30,2527.0,,,,,2527.0,2023-h1,2023,h1,Banking,3
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2022-08-01 to 2023-01-31,355.0,,,6.0,,361.0,2023-h1,2023,h1,Banking,3
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2022-10-01 to 2023-03-31,32150.0,3.0,2144.0,18.0,151.0,34466.0,2023-h1,2023,h1,Banking,3
Co-op Insurance Services Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,620.0,,620.0,2023-h1,2023,h1,Insurance,3
Cofunds Limited,AEGON N.V.,2023-01-01 to 2023-06-30,,60.0,,,912.0,972.0,2023-h1,2023,h1,Investments,3
Columbia Threadneedle Management Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,,720.0,720.0,2023-h1,2023,h1,Investments,3
Connells Limited,SKIPTON BUILDING SOCIETY,2023-01-01 to 2023-06-30,,,442.0,82.0,1.0,525.0,2023-h1,2023,h1,Mortgage & Lending,3
Convera UK Financial Limited,NO GROUP,2023-01-01 to 2023-06-30,584.0,,,,,584.0,2023-h1,2023,h1,Banking,3
CORGI HomePlan Ltd,OVO GROUP,2023-01-01 to 2023-06-30,,,,1700.0,,1700.0,2023-h1,2023,h1,Insurance,3
Coutts & Company,NATWEST GROUP,2023-01-01 to 2023-06-30,1552.0,5.0,129.0,10.0,90.0,1786.0,2023-h1,2023,h1,Banking,3
Covea Insurance plc,COVEA GROUP,2023-01-01 to 2023-06-30,,,,3533.0,,3533.0,2023-h1,2023,h1,Insurance,3
Coventry Building Society,NO GROUP,2023-01-01 to 2023-06-30,3905.0,,796.0,4.0,,4705.0,2023-h1,2023,h1,Banking,3
Cover Genius Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,881.0,,881.0,2023-h1,2023,h1,Insurance,3
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2023-01-01 to 2023-06-30,3275.0,,,20.0,,3295.0,2023-h1,2023,h1,Mortgage & Lending,3
Creation Financial Services Limited,BNP PARIBAS GROUP,2023-01-01 to 2023-06-30,1309.0,,,374.0,,1683.0,2023-h1,2023,h1,Banking,3
Cumberland Building Society,NO GROUP,2022-10-01 to 2023-03-31,472.0,,56.0,1.0,,529.0,2023-h1,2023,h1,Banking,3
Cuvva Limited,NO GROUP,2022-09-01 to 2023-02-28,,,,536.0,,536.0,2023-h1,2023,h1,Insurance,3
Cynergy Bank Limited,CYNERGY CAPITAL LTD,2023-01-01 to 2023-06-30,893.0,,6.0,,,899.0,2023-h1,2023,h1,Banking,3
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,2023-01-01 to 2023-06-30,,,,1956.0,,1956.0,2023-h1,2023,h1,Insurance,3
DAVIES MGA SERVICES LIMITED,NO GROUP,2023-01-01 to 2023-06-30,,,,744.0,,744.0,2023-h1,2023,h1,Insurance,3
Devitt Insurance Services Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,601.0,,601.0,2023-h1,2023,h1,Insurance,3
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2022-10-01 to 2023-03-31,,,,44532.0,,44532.0,2023-h1,2023,h1,Insurance,3
Elavon Financial Services Designated Activity Company,NO GROUP,2023-01-01 to 2023-06-30,2261.0,,,,,2261.0,2023-h1,2023,h1,Banking,3
Elderbridge Limited,TECH MAHINDRA LIMITED,2022-10-01 to 2023-03-31,,,1159.0,4.0,,1163.0,2023-h1,2023,h1,Mortgage & Lending,3
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2023-01-01 to 2023-06-30,,17.0,,,3433.0,3450.0,2023-h1,2023,h1,Investments,3
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2023-01-01 to 2023-06-30,,,,3875.0,,3875.0,2023-h1,2023,h1,Insurance,3
esure Insurance Limited,ESURE GROUP PLC,2023-01-01 to 2023-06-30,,,,13385.0,,13385.0,2023-h1,2023,h1,Insurance,3
EUI Limited,ADMIRAL GROUP PLC,2023-01-01 to 2023-06-30,,,,54918.0,,54918.0,2023-h1,2023,h1,Insurance,3
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,2023-01-01 to 2023-06-30,,,,778.0,,778.0,2023-h1,2023,h1,Insurance,3
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2023-01-01 to 2023-06-30,,,,603.0,,603.0,2023-h1,2023,h1,Insurance,3
Experian Limited,EXPERIAN PLC,2022-10-01 to 2023-03-31,,,0.0,7.0,,7.0,2023-h1,2023,h1,Insurance,3
Extracover Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,941.0,,941.0,2023-h1,2023,h1,Insurance,3
Fairmead Insurance Limited,ALLIANZ SE,2022-10-01 to 2023-03-31,,,,905.0,,905.0,2023-h1,2023,h1,Insurance,3
Family Assurance Friendly Society Limited,NO GROUP,2023-01-01 to 2023-06-30,,5.0,,383.0,184.0,572.0,2023-h1,2023,h1,Insurance,3
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2023-01-01 to 2023-06-30,229.0,,,,865.0,1094.0,2023-h1,2023,h1,Investments,3
FCE Bank Plc,FORD MOTOR CO,2023-01-01 to 2023-06-30,106.0,,,,,106.0,2023-h1,2023,h1,Banking,3
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,2023-01-01 to 2023-06-30,,974.0,,,,974.0,2023-h1,2023,h1,Insurance,3
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2023-01-01 to 2023-06-30,,763.0,,,3199.0,3962.0,2023-h1,2023,h1,Investments,3
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2023-01-01 to 2023-06-30,,,,11089.0,,11089.0,2023-h1,2023,h1,Insurance,3
FirstRand Bank Limited,FIRSTRAND LIMITED,2023-01-01 to 2023-06-30,,,,33.0,,33.0,2023-h1,2023,h1,Banking,3
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2023-01-01 to 2023-06-30,,27.0,,53.0,541.0,621.0,2023-h1,2023,h1,Insurance,3
Fortegra Europe Insurance Company Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,3193.0,,3193.0,2023-h1,2023,h1,Insurance,3
Frasers Group Financial Services Limited,NO GROUP,2022-11-01 to 2023-04-30,,,,6.0,,6.0,2023-h1,2023,h1,Insurance,3
Gresham Insurance Company Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,826.0,,826.0,2023-h1,2023,h1,Insurance,3
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,,19.0,,,797.0,816.0,2023-h1,2023,h1,Investments,3
Handelsbanken plc,NO GROUP,2023-01-01 to 2023-06-30,409.0,,72.0,,,481.0,2023-h1,2023,h1,Banking,3
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,2023-01-01 to 2023-06-30,,1014.0,,,2802.0,3816.0,2023-h1,2023,h1,Energy & Utilities,3
Hastings Insurance Services Limited,HASTINGS GROUP,2023-01-01 to 2023-06-30,,,,23527.0,,23527.0,2023-h1,2023,h1,Insurance,3
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,0.0,0.0,0.0,0.0,829.0,829.0,2023-h1,2023,h1,Investments,3
Helvetia Global Solutions Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,1121.0,,1121.0,2023-h1,2023,h1,Insurance,3
Highway Insurance Company Limited,ALLIANZ SE,2023-01-01 to 2023-06-30,,,,925.0,,925.0,2023-h1,2023,h1,Insurance,3
Hiscox Insurance Company Limited,HISCOX LTD.,2023-01-01 to 2023-06-30,,,,880.0,,880.0,2023-h1,2023,h1,Insurance,3
Home Retail Group Card Services Limited,J SAINSBURY PLC,2022-09-01 to 2023-02-28,4147.0,,,,,4147.0,2023-h1,2023,h1,Banking,3
Homeserve Membership Limited,HOMESERVE PLC,2022-10-01 to 2023-03-31,,,,2344.0,,2344.0,2023-h1,2023,h1,Insurance,3
Howserv Limited,STAYSURE HOLDINGS LTD,2023-01-01 to 2023-06-30,,,,2054.0,,2054.0,2023-h1,2023,h1,Insurance,3
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2023-01-01 to 2023-06-30,101716.0,48.0,6015.0,657.0,1358.0,109794.0,2023-h1,2023,h1,Banking,3
I Go 4 Ltd.,NO GROUP,2023-01-01 to 2023-06-30,,,,1271.0,,1271.0,2023-h1,2023,h1,Insurance,3
Ikano Bank AB (publ),NO GROUP,2023-01-01 to 2023-06-30,1856.0,,,0.0,,1856.0,2023-h1,2023,h1,Banking,3
Insurance Factory Ltd,MARKERSTUDY GROUP,2023-01-01 to 2023-06-30,,,,4253.0,,4253.0,2023-h1,2023,h1,Insurance,3
Integra Insurance Solutions Limited,NO GROUP,2023-01-01 to 2023-06-30,0.0,0.0,0.0,755.0,0.0,755.0,2023-h1,2023,h1,Insurance,3
Inter Partner Assistance SA,AXA GROUP,2023-01-01 to 2023-06-30,,,,8811.0,,8811.0,2023-h1,2023,h1,Insurance,3
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,2023-01-01 to 2023-06-30,,95.0,,,1990.0,2085.0,2023-h1,2023,h1,Investments,3
Investec Bank PLC,INVESTEC PLC,2022-10-01 to 2023-03-31,1208.0,,3.0,,58.0,1269.0,2023-h1,2023,h1,Banking,3
Investment Funds Direct Limited,M&G PLC,2023-01-01 to 2023-06-30,,294.0,,,379.0,673.0,2023-h1,2023,h1,Investments,3
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,2022-09-01 to 2023-02-28,,,,40.0,,40.0,2023-h1,2023,h1,Insurance,3
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2023-01-01 to 2023-06-30,7872.0,,,,,7872.0,2023-h1,2023,h1,Banking,3
Kensington Mortgage Company Limited,NO GROUP,2022-10-01 to 2023-03-31,,,989.0,,,989.0,2023-h1,2023,h1,Mortgage & Lending,3
Kroo Bank Ltd,NO GROUP,2023-01-01 to 2023-06-30,741.0,,,,,741.0,2023-h1,2023,h1,Banking,3
Landmark Mortgages Limited,NO GROUP,2023-01-01 to 2023-06-30,,,1331.0,,,1331.0,2023-h1,2023,h1,Mortgage & Lending,3
LeasePlan UK Limited,LP GROUP B.V.,2023-01-01 to 2023-06-30,,,,4.0,,4.0,2023-h1,2023,h1,Insurance,3
Leeds Building Society,LEEDS BUILDING SOCIETY,2023-01-01 to 2023-06-30,1457.0,,1340.0,4.0,1.0,2802.0,2023-h1,2023,h1,Banking,3
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,2023-01-01 to 2023-06-30,,522.0,,,4.0,526.0,2023-h1,2023,h1,Insurance,3
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2023-01-01 to 2023-06-30,,1007.0,,2942.0,,3949.0,2023-h1,2023,h1,Insurance,3
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2023-01-01 to 2023-06-30,,903.0,,1551.0,473.0,2927.0,2023-h1,2023,h1,Insurance,3
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,2023-01-01 to 2023-06-30,,,,12868.0,,12868.0,2023-h1,2023,h1,Insurance,3
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,0.0,0.0,0.0,6290.0,0.0,6290.0,2023-h1,2023,h1,Banking,3
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,76364.0,66.0,3132.0,594.0,87.0,80243.0,2023-h1,2023,h1,Banking,3
